date,open,high,low,close,volume,vwap
2018-10-11,24.74,26.200001,24.549999,25.299999,147013800.0,25.35
2018-10-12,26.77,26.969999,25.67,26.34,111059400.0,26.32667
2018-10-15,26.379999,26.77,25.75,26.26,70523500.0,26.26
2018-10-16,26.629999,28.23,26.17,28.18,92529000.0,27.52667
2018-10-17,28.41,28.530001,26.92,27.299999,89466900.0,27.58333
2018-10-18,27.08,27.75,26.4,26.620001,79623700.0,26.92333
2018-10-19,27.030001,27.1,23.6,23.66,130799900.0,24.78667
2018-10-22,24.459999,25.639999,24.09,25.030001,114158900.0,24.92
2018-10-23,24.18,25.26,23.85,25.09,101763000.0,24.73333
2018-10-24,25.040001,25.1,22.75,22.790001,134489100.0,23.54667
2018-10-25,17.92,20.15,17.719999,19.27,189173700.0,19.04667
2018-10-26,18.49,18.780001,17.049999,17.629999,119689000.0,17.82
2018-10-29,18.209999,18.23,16.27,16.85,94479600.0,17.11667
2018-10-30,16.379999,17.24,16.17,17.200001,99049400.0,16.87
2018-10-31,17.870001,18.34,17.120001,18.209999,110463700.0,17.89
2018-11-01,18.41,20.33,18.08,20.219999,136896500.0,19.54333
2018-11-02,20.59,21.059999,19.469999,20.23,123788000.0,20.25333
2018-11-05,20.120001,20.18,18.879999,19.9,108016700.0,19.65333
2018-11-06,19.5,21.65,19.48,20.68,144995700.0,20.60333
2018-11-07,21.42,22.219999,21.07,21.84,121115800.0,21.71
2018-11-08,21.77,22.08,20.969999,21.200001,92387600.0,21.41667
2018-11-09,20.77,21.190001,20.110001,21.030001,85900700.0,20.77667
2018-11-12,20.68,20.85,18.799999,19.030001,95948200.0,19.56
2018-11-13,19.280001,20.02,18.969999,19.610001,76126000.0,19.53333
2018-11-14,20.18,21.110001,19.76,20.809999,106344300.0,20.56
2018-11-15,20.719999,21.77,20.42,21.49,97715500.0,21.22667
2018-11-16,19.870001,20.969999,19.719999,20.66,112376600.0,20.45
2018-11-19,20.4,20.59,19.09,19.110001,93578200.0,19.59667
2018-11-20,17.4,19.58,17.18,19.209999,109869400.0,18.65667
2018-11-21,20.049999,20.309999,18.5,18.73,81585600.0,19.18
2018-11-23,18.610001,19.83,18.559999,19.379999,54611300.0,19.25667
2018-11-26,19.959999,20.190001,19.110001,20.08,83211000.0,19.79333
2018-11-27,19.77,21.450001,19.73,21.049999,119230100.0,20.74333
2018-11-28,21.82,21.879999,20.18,21.34,134425300.0,21.13333
2018-11-29,21.190001,21.610001,20.73,21.43,79853700.0,21.25667
2018-11-30,21.299999,21.360001,20.52,21.299999,82370700.0,21.06
2018-12-03,22.48,23.75,22.370001,23.709999,139607400.0,23.27667
2018-12-04,23.35,23.42,21.07,21.120001,127392900.0,21.87
2018-12-06,20.219999,21.41,20.059999,21.299999,103434700.0,20.92333
2018-12-07,21.299999,21.379999,19.17,19.459999,105764500.0,20.00333
2018-12-10,19.35,20.129999,19.27,19.99,77984500.0,19.79667
2018-12-11,20.709999,21.139999,19.690001,19.98,88027400.0,20.27
2018-12-12,20.32,21.02,19.709999,20.48,100340700.0,20.40333
2018-12-13,20.629999,20.870001,19.76,19.860001,88108300.0,20.16333
2018-12-14,19.58,20.700001,19.52,19.9,84713600.0,20.04
2018-12-17,20.01,20.02,18.639999,18.83,115437900.0,19.16333
2018-12-18,19.15,19.84,18.879999,19.5,101512900.0,19.40667
2018-12-19,19.440001,19.719999,18.0,18.16,120644500.0,18.62667
2018-12-20,18.110001,18.860001,17.34,17.940001,119394500.0,18.04667
2018-12-21,18.120001,18.34,16.76,16.93,132246000.0,17.34333
2018-12-24,16.52,17.219999,16.370001,16.65,62933100.0,16.74667
2018-12-26,16.879999,17.91,16.030001,17.9,108811800.0,17.28
2018-12-27,17.43,17.74,16.440001,17.49,111373000.0,17.22333
2018-12-28,17.530001,18.309999,17.139999,17.82,109214400.0,17.75667
2018-12-31,18.15,18.51,17.85,18.459999,84732200.0,18.27333
2019-01-02,18.01,19.0,17.98,18.83,87148700.0,18.60333
2019-01-03,18.42,18.68,16.940001,17.049999,117277600.0,17.55667
2019-01-04,17.549999,19.07,17.43,19.0,111878600.0,18.5
2019-01-07,19.440001,20.68,19.0,20.57,107157000.0,20.08333
2019-01-08,21.190001,21.200001,19.68,20.75,121271000.0,20.54333
2019-01-09,20.889999,21.440001,20.07,20.190001,163944100.0,20.56667
2019-01-10,19.76,19.83,18.9,19.74,115629400.0,19.49
2019-01-11,19.469999,20.35,19.190001,20.27,85110800.0,19.93667
2019-01-14,19.959999,20.620001,19.75,20.23,71350200.0,20.2
2019-01-15,20.440001,20.68,20.26,20.379999,62785800.0,20.44
2019-01-16,20.4,20.540001,19.709999,19.73,70849300.0,19.99333
2019-01-17,19.49,20.51,19.02,20.25,85018400.0,19.92667
2019-01-18,20.370001,21.049999,20.02,20.77,88131000.0,20.61333
